YEAR,AVERAGE,MIN,MAX,NB
1990,1.784812757,1.591695825,1.977499362,261
1991,1.768199696,1.604499018,1.995499332,261
1992,1.765441626,1.504993205,2.005002021,262
1993,1.502083569,1.414303334,1.592505285,261
1994,1.531963577,1.457994229,1.639002767,260
1995,1.578250472,1.52870179,1.648995183,260
1996,1.561770463,1.496201559,1.69949259,262
1997,1.638458728,1.575703532,1.708902144,261
1998,1.657141283,1.614300313,1.717505062,261
1999,1.617882905,1.55109545,1.674992243,261
2000,1.51505698,1.398622047,1.654074563,255
2001,1.440011172,1.377075609,1.506719368,255
2002,1.502859107,1.407152231,1.612144504,255
2003,1.634317719,1.549794962,1.79199773,255
2004,1.832652465,1.751298412,1.952644616,259
2005,1.819174944,1.709048419,1.925335631,257
2006,1.842387695,1.722651129,1.977013199,255
2007,2.00211217,1.917766051,2.106427289,255
2008,1.853827984,1.447136112,2.034082006,256
2009,1.56686196,1.363055289,1.701399138,256
2010,1.545204399,1.426885701,1.633769187,258
2011,1.603508383,1.530802953,1.668578498,257
2012,1.584468128,1.53068323,1.62994731,256
2013,1.564303096,1.486358382,1.654192155,255
2014,1.647661515,1.552434219,1.716429202,255
2015,1.528751885,1.459138597,1.591181805,256
2016,1.355037728,1.214837884,1.486911678,257
2017,1.288160694,1.206495991,1.358767875,255
2018,1.335147774,1.256191907,1.432197497,255
2019,1.27606064,1.203388898,1.338075394,255
