,Year,loan_amount,Country,world_region,GDP,Stability
0,1990,18000000.0,poland,eastern europe,65977749037.0,
1,1990,329000000.0,indonesia,asia (ex. near east),106000000000.0,
2,1990,350000000.0,peru,latin amer. & carib,26410386669.0,
3,1990,110000000.0,algeria,northern africa,62048562947.0,
4,1990,25000000.0,india,asia (ex. near east),321000000000.0,
5,1990,61000000.0,indonesia,asia (ex. near east),106000000000.0,
6,1990,173000000.0,turkey,near east,151000000000.0,
7,1990,75000000.0,turkey,near east,151000000000.0,
8,1990,24000000.0,colombia,latin amer. & carib,47844090710.0,
9,1990,7000000.0,india,asia (ex. near east),321000000000.0,
10,1990,50000000.0,guinea,sub-saharan africa,2666750686.0,
11,1990,300000000.0,poland,eastern europe,65977749037.0,
12,1990,21500000.0,cameroon,sub-saharan africa,12314482085.0,
13,1990,80000000.0,zimbabwe,sub-saharan africa,8783816700.0,
14,1990,225000000.0,niger,sub-saharan africa,3512356353.0,
15,1990,75000000.0,china,asia (ex. near east),361000000000.0,
16,1990,35000000.0,jamaica,latin amer. & carib,4592224067.0,
17,1990,150000000.0,venezuela,latin amer. & carib,48598315565.0,
18,1990,304000000.0,colombia,latin amer. & carib,47844090710.0,
19,1990,154200000.0,indonesia,asia (ex. near east),106000000000.0,
20,1990,280000000.0,brazil,latin amer. & carib,462000000000.0,
21,1990,15000000.0,togo,sub-saharan africa,1628427515.0,
22,1990,32000000.0,iran,asia (ex. near east),125000000000.0,
23,1990,260000000.0,poland,eastern europe,65977749037.0,
24,1990,100000000.0,poland,eastern europe,65977749037.0,
25,1990,162000000.0,pakistan,asia (ex. near east),40010423970.0,
26,1990,123000000.0,pakistan,asia (ex. near east),40010423970.0,
27,1990,165000000.0,egypt,northern africa,42978914311.0,
28,1990,1260000000.0,mexico,latin amer. & carib,261000000000.0,
29,1990,130000000.0,chile,latin amer. & carib,33113887818.0,
30,1990,12000000.0,morocco,northern africa,30180108562.0,
31,1990,5000000.0,morocco,northern africa,30180108562.0,
32,1990,12000000.0,morocco,northern africa,30180108562.0,
33,1990,9000000.0,morocco,northern africa,30180108562.0,
34,1990,25000000.0,morocco,northern africa,30180108562.0,
35,1990,40000000.0,morocco,northern africa,30180108562.0,
36,1990,15000000.0,india,asia (ex. near east),321000000000.0,
37,1990,47000000.0,brazil,latin amer. & carib,462000000000.0,
38,1990,83200000.0,malaysia,asia (ex. near east),44024178343.0,
39,1990,71000000.0,malaysia,asia (ex. near east),44024178343.0,
40,1990,40000000.0,philippines,asia (ex. near east),44311593756.0,
41,1990,100000000.0,mexico,latin amer. & carib,261000000000.0,
42,1990,40000000.0,japan,asia (ex. near east),3130000000000.0,
43,1990,36300000.0,zimbabwe,sub-saharan africa,8783816700.0,
44,1990,150000000.0,jordan,near east,4160003917.0,
45,1990,184000000.0,pakistan,asia (ex. near east),40010423970.0,
46,1990,25000000.0,jordan,near east,4160003917.0,
47,1990,250000000.0,poland,eastern europe,65977749037.0,
48,1990,20000000.0,japan,asia (ex. near east),3130000000000.0,
49,1990,86000000.0,indonesia,asia (ex. near east),106000000000.0,
50,1990,190000000.0,indonesia,asia (ex. near east),106000000000.0,
51,1990,85000000.0,philippines,asia (ex. near east),44311593756.0,
52,1990,200000000.0,philippines,asia (ex. near east),44311593756.0,
53,1990,8000000.0,poland,eastern europe,65977749037.0,
54,1990,148500000.0,pakistan,asia (ex. near east),40010423970.0,
