proj_name,countries,max_country,world_region
"2014_july_23_850811468025483513_official-documents-loan-agreement,-loan-8369-cn-closing-package.txt","[['china', 'united states'], [5, 1]]",china,asia (ex. near east)
2019_may_7_176351559759561956_official-documents-loan-agreement-for-loan-8947-yf-closing-package.txt,"[['serbia', 'united states'], [4, 1]]",serbia,eastern europe
2012_june_18_303491468216590188_official-documents-loan-agreement-for-loan-8135-br-closing-package.txt,"[['brazil', 'india', 'united states'], [3, 1, 1]]",brazil,latin amer. & carib
1994_june_9_933721468051257956_mexico--northern-border-environment-project-_-loan-3750--loan-agreement--conformed.txt,"[['canada', 'mexico', 'united states'], [2, 9, 5]]",mexico,latin amer. & carib
1994_february_22_415671468068335069_paraguay--natural-resources-management-project-_-loan-3708--loan-agreement--conformed.txt,"[['chile', 'paraguay', 'united states'], [1, 10, 1]]",paraguay,latin amer. & carib
1994_july_5_501631468240315423_china--enterprise-housing-and-social-security-reform-project-_-loan-3773--loan-agreement--conformed.txt,"[['china', 'united states'], [4, 1]]",china,asia (ex. near east)
2018_december_12_768811559757314587_official-documents-amendment-to-the-loan-agreement-for-loan-8707-ar.txt,"[['argentina', 'paraguay', 'uruguay'], [2, 1, 1]]",argentina,latin amer. & carib
1995_july_25_920151468005132514_argentina--mining-development-technical-assistance-project-_-loan-3927--loan-agreement--conformed.txt,"[['argentina', 'united states'], [1, 1]]",argentina,latin amer. & carib
1995_august_29_575801468055459440_mexico--privatization-technical-assistance-project-_-loan-3937--loan-agreement--conformed.txt,"[['mexico', 'united states'], [2, 1]]",mexico,latin amer. & carib
2014_december_9_318201468006913878_official-documents-scf-loan-agreement-for-tf016083-closing-package.txt,"[['bolivia', 'united states'], [5, 1]]",bolivia,latin amer. & carib
2019_august_13_293091566912444013_official-documents-loan-agreement-for-loan-8937-co-closing-package.txt,"[['colombia', 'mali', 'united states'], [13, 5, 1]]",colombia,latin amer. & carib
1995_march_7_757931468298473301_russia--housing-project-_-loan-3850--loan-agreement--conformed.txt,"[['russia', 'united states'], [5, 1]]",russia,c.w. of ind. states
1994_october_27_936121468055457557_mexico--technical-education-and-training-modernization-project-_-loan-3805--loan-agreement--conformed.txt,"[['mexico', 'united states'], [5, 1]]",mexico,latin amer. & carib
2019_may_15_912621559566012926_official-documents-loan-agreement-for-loan-8730-gt-closing-package.txt,"[['guatemala', 'united states'], [5, 1]]",guatemala,latin amer. & carib
1994_september_15_404541468260637096_indonesia--land-administration-project-_-loan-3792--loan-agreement--conformed.txt,"[['australia', 'indonesia', 'united states'], [1, 6, 2]]",indonesia,asia (ex. near east)
2001_july_3_322571468248956257_loan-agreement-for-loan-4613-hr-conformed.txt,"[[], []]",None,None
1995_november_28_238441468296979011_poland--power-transmission-project-_-loan-3959--loan-agreement--conformed.txt,"[['poland', 'united states'], [5, 1]]",poland,eastern europe
1994_april_14_797931468241169432_china--xiaolangdi-multipurpose-project-_-loan-3727--loan-agreement--conformed.txt,"[['china', 'united states'], [6, 1]]",china,asia (ex. near east)
2019_june_27_184571572537671535_official-documents-loan-agreement-for-loan-8939-in-closing-package.txt,"[['india', 'united states'], [8, 2]]",india,asia (ex. near east)
1995_december_19_436571468123879223_pakistan--ghazi-barotha-hydropower-project-_-loan-3965--loan-agreement--conformed.txt,"[['pakistan', 'united states'], [8, 2]]",pakistan,asia (ex. near east)
"2013_july_4_630391468258835532_official-documents-loan-agreement,-l8250-cn-closing-package.txt","[['china', 'united states'], [7, 1]]",china,asia (ex. near east)
1993_september_14_669041468289880869_pakistan--public-sector-adjustment-loan-_-loan-3645--loan-agreement--conformed.txt,"[['pakistan', 'united states'], [7, 1]]",pakistan,asia (ex. near east)
1994_may_3_391411468302940436_uruguay--basic-education-quality-improvement-project-_-loan-3729--loan-agreement--conformed.txt,"[['united states', 'uruguay'], [1, 6]]",uruguay,latin amer. & carib
1991_march_12_994751468252289779_india--agricultural-development-project--tamil-nadu-_-loan-3300--loan-agreement--conformed.txt,"[['india', 'united states'], [5, 1]]",india,asia (ex. near east)
1991_april_9_132451468020333188_china--jiangsu-provincial-transport-project-_-loan-3316--loan-agreement--conformed.txt,"[['china', 'united states'], [4, 2]]",china,asia (ex. near east)
"2014_april_8_181511468200353403_official-documents-loan-agreement,-l8351-by-closing-package.txt","[['belarus', 'united states'], [7, 2]]",belarus,c.w. of ind. states
1995_march_9_767821468045250464_moldova--pre-export-guarantee-facility-project-_-loan-3851--loan-agreement--conformed.txt,"[['moldova', 'united states'], [5, 1]]",moldova,c.w. of ind. states
2019_august_29_768791568310323989_official-documents-loan-agreement-for-cfr-srep-loan-tf0a7640-closing-package.txt,"[['bangladesh', 'united states'], [9, 4]]",bangladesh,asia (ex. near east)
2009_november_12_114131468252897942_loan-agreement-for-loan-7804-ge-conformed.txt,"[[], []]",None,None
1994_december_15_758121468041461616_indonesia--second-professional-human-resource-development-project-_-loan-3825--loan-agreement--conformed.txt,"[['indonesia', 'united states'], [10, 2]]",indonesia,asia (ex. near east)
1995_june_20_290671468300569535_mauritius--port-development-and-environmental-protection-project-_-loan-3908--loan-agreement--conformed.txt,"[['japan', 'mauritius', 'united states'], [1, 10, 2]]",mauritius,sub-saharan africa
