YEAR,AVERAGE,MIN,MAX,NB
1990,1.271002806,1.186533224,1.391756604,261
1991,1.236353428,1.116255108,1.405120888,261
1992,1.301715333,1.218481308,1.4617654,262
1993,1.184671767,1.120384879,1.260881339,261
1994,1.201993538,1.112088504,1.299990293,260
1995,1.332457325,1.237197258,1.385524446,260
1996,1.290422158,1.249516035,1.345555256,262
1997,1.131451233,1.039295617,1.26502334,261
1998,1.114781142,1.057733918,1.213039605,261
1999,1.065928927,1.0015,1.179,261
2000,0.923612157,0.8252,1.0388,255
2001,0.895570588,0.8384,0.9545,255
2002,0.945573725,0.8578,1.0487,255
2003,1.131148235,1.0377,1.263,255
2004,1.243942857,1.1802,1.3633,259
2005,1.244113619,1.1667,1.3507,257
2006,1.255623137,1.1826,1.3331,255
2007,1.370478039,1.2893,1.4874,255
2008,1.470755469,1.246,1.599,256
2009,1.394759375,1.2555,1.512,256
2010,1.325694574,1.1942,1.4563,258
2011,1.39193035,1.2889,1.4882,257
2012,1.284788672,1.2089,1.3454,256
2013,1.328118039,1.2768,1.3814,255
2014,1.328500784,1.2141,1.3953,255
2015,1.109512891,1.0552,1.2043,256
2016,1.106903113,1.0364,1.1569,257
2017,1.129686275,1.0385,1.206,255
2018,1.18095451,1.1261,1.2493,255
2019,1.11947451,1.0889,1.1535,255
