YEAR,AVERAGE,MIN,MAX,NB
1990,1.354319641,1.289472091,1.457540509,261
1991,1.367020097,1.278544993,1.459932945,261
1992,1.410154381,1.350741926,1.527496878,262
1993,1.398122248,1.350482279,1.464752406,261
1994,1.436047952,1.365266227,1.522069816,260
1995,1.53439714,1.441477255,1.619686449,260
1996,1.470922752,1.429185506,1.538972768,262
1997,1.379712881,1.328153888,1.477970338,261
1998,1.353746164,1.305578156,1.419644632,261
1999,1.367178239,1.323571709,1.426542326,261
2000,1.320072086,1.241819895,1.381923025,255
2001,1.273637445,1.219073853,1.324694668,255
2002,1.295414497,1.231377967,1.366429671,255
2003,1.399392049,1.323834787,1.480533447,255
2004,1.477954307,1.411409175,1.551504651,259
2005,1.476922238,1.410983357,1.552942497,257
2006,1.470974119,1.41234976,1.520775958,255
2007,1.530856655,1.487528726,1.600585749,255
2008,1.586598963,1.447104951,1.648895922,256
2009,1.54326595,1.457761491,1.612032062,256
2010,1.524789067,1.444910502,1.58843002,258
2011,1.57893255,1.523591666,1.622954197,257
2012,1.531311821,1.498195782,1.556392213,256
2013,1.519585108,1.48533504,1.547620235,255
2014,1.519600262,1.448509534,1.55770839,255
2015,1.399113225,1.369209633,1.441830919,256
2016,1.39004503,1.333312595,1.425870366,257
2017,1.386870252,1.336386157,1.429553874,255
2018,1.415857297,1.375847877,1.459765966,255
2019,1.381473537,1.356828761,1.406636671,255
