file_name,sector,agreement_date,year
1990_december_4_833971468016863921_china--rural-industrial-technology-_-credit-2186--loan-agreement--conformed.txt,rural-industrial-technology-_,1990_december_4,1990
1990_june_12_146771468325288731_pakistan--agricultural-credit-project-_-credit-2153--loan-agreement--conformed.txt,agricultural,1990_june_12,1990
1990_march_27_681121468040453518_india--hyderabad-water-supply-and-sanitation-project-_-credit-2115--loan-agreement--conformed.txt,hyderabad-water-supply-and-sanitation,1990_march_27,1990
1990_may_15_598881468034838695_india--integrated-watershed-development-plains-project-_-loan-3197--loan-agreement--conformed.txt,integrated-watershed-development-plains,1990_may_15,1990
1990_may_15_955111468244536485_india--integrated-watershed-development-plains-project-_-credit-2131--loan-agreement--conformed.txt,integrated-watershed-development-plains,1990_may_15,1990
1990_may_17_749401468251094028_india--seventh-population-project-_-credit-2133--loan-agreement--conformed.txt,seventh-population,1990_may_17,1990
1990_may_17_788441468273707898_india--seventh-population-project-_-loan-3199--loan-agreement--conformed.txt,seventh-population,1990_may_17,1990
1990_may_1_670561468035072614_india--technical-education-project-_-credit-2130--loan-agreement--conformed.txt,technical-education,1990_may_1,1990
1990_may_22_349231468225306873_caribbean-region--fifth-caribbean-development-bank-project-_-loan-3200--loan-agreement--conformed.txt,fifth-caribbean-development-bank,1990_may_22,1990
1990_october_4_185891468252289466_india--andhra-pradesh-cyclone-emergency-reconstruction-project-_-loan-3260--loan-agreement--conformed.txt,andhra-pradesh-cyclone-emergency-reconstruction,1990_october_4,1990
1990_october_4_969691468033278080_india--andhra-pradesh-cyclone-emergency-reconstruction-project-_-credit-2179--loan-agreement--conformed.txt,andhra-pradesh-cyclone-emergency-reconstruction,1990_october_4,1990
1990_september_4_707791468040453804_india--integrated-child-development-services-project-_-credit-2173--loan-agreement--conformed.txt,integrated-child-development-services,1990_september_4,1990
1991_april_9_132451468020333188_china--jiangsu-provincial-transport-project-_-loan-3316--loan-agreement--conformed.txt,jiangsu-provincial-transport,1991_april_9,1991
1991_december_20_506621468026670810_ivory-coast--human-resources-development-loan-_-loan-3428--loan-agreement--conformed.txt,human-resources-development,1991_december_20,1991
1991_december_20_735971468026667972_ivory-coast--competitiveness-and-regulatory-reform-adjustment-loan-_-credit-2324--loan-agreement--conformed.txt,competitiveness-and-regulatory-reform-adjustment,1991_december_20,1991
1991_december_20_796561468026386353_ivory-coast--human-resources-development-loan-_-credit-2323--loan-agreement--conformed.txt,human-resources-development,1991_december_20,1991
1991_december_20_876431468027608636_ivory-coast--competitiveness-and-regulatory-reform-adjustment-loan-_-loan-3429--loan-agreement--conformed.txt,competitiveness-and-regulatory-reform-adjustment,1991_december_20,1991
1991_december_5_825341468040565140_india--structural-adjustment-loan-_-loan-3421--loan-agreement--conformed.txt,structural-adjustment,1991_december_5,1991
1991_january_8_548891468016865301_china--medium-sized-cities-development-project-_-loan-3286--loan-agreement--conformed.txt,medium-sized-cities-development,1991_january_8,1991
1991_june_4_196521468240577585_china--irrigated-agriculture-intensification-project-_-loan-3337--loan-agreement--conformed.txt,irrigated-agriculture-intensification,1991_june_4,1991
1991_june_4_945761468241166650_china--irrigated-agriculture-intensification-project-_-credit-2256--loan-agreement--conformed.txt,irrigated-agriculture-intensification,1991_june_4,1991
1991_march_12_994751468252289779_india--agricultural-development-project--tamil-nadu-_-loan-3300--loan-agreement--conformed.txt,agricultural-development,1991_march_12,1991
1991_may_14_572381468034781087_india--dam-safety-project-_-loan-3325--loan-agreement--conformed.txt,dam-safety,1991_may_14,1991
1991_may_14_880711468040455417_india--dam-safety-project-_-credit-2241--loan-agreement--conformed.txt,dam-safety,1991_may_14,1991
1991_may_21_698871468289877875_pakistan--third-on-farm-water-management-project-_-credit-2245--loan-agreement--conformed.txt,third-on-farm-water-management,1991_may_21,1991
1991_may_21_971331468291698667_pakistan--third-on-farm-water-management-project-_-loan-3327--loan-agreement--conformed.txt,third-on-farm-water-management,1991_may_21,1991
1991_november_19_892131468028134392_china--beijing-environmental-project-_-loan-3415--loan-agreement--conformed.txt,beijing-environmental,1991_november_19,1991
1991_october_31_427451468019739796_china--daguangba-multipurpose-project-_-loan-3412--loan-agreement--conformed.txt,daguangba-multipurpose,1991_october_31,1991
1992_january_21_157381468321580517_zimbabwe--structural-adjustment-loan-_-loan-3434--loan-agreement--conformed.txt,structural-adjustment,1992_january_21,1992
1992_may_12_168201468051268836_india--second-national-highway-project-_-credit-2365--loan-agreement--conformed.txt,second-national-highway,1992_may_12,1992
1992_may_12_329401468050034439_india--second-national-highway-project-_-loan-3470--loan-agreement--conformed.txt,second-national-highway,1992_may_12,1992
1993_december_21_133961468299950776_morocco--services-project-_-loan-3688--loan-agreement--conformed.txt,services,1993_december_21,1993
1993_december_21_918591468071335214_panama--roads-rehabilitation-project-_-loan-3686--loan-agreement--conformed.txt,roads-rehabilitation,1993_december_21,1993
1993_december_23_573261468018054340_colombia--natural-resource-management-program-_-loan-3692--loan-agreement--conformed.txt,natural-resource-management,1993_december_23,1993
1993_december_23_890441468302943626_tunisia--northwest-mountainous-areas-development-project-_-loan-3691--loan-agreement--conformed.txt,northwest-mountainous-areas-development,1993_december_23,1993
1993_december_23_942771468204579908_algeria--emergency-desert-locust-control-project-_-loan-3690--loan-agreement--conformed.txt,emergency-desert-locust-control,1993_december_23,1993
1993_september_14_669041468289880869_pakistan--public-sector-adjustment-loan-_-loan-3645--loan-agreement--conformed.txt,public-sector-adjustment,1993_september_14,1993
1994_april_12_991211468259147267_indonesia--surabaya-urban-development-project-_-loan-3726--loan-agreement--conformed.txt,surabaya-urban-development,1994_april_12,1994
1994_april_14_797931468241169432_china--xiaolangdi-multipurpose-project-_-loan-3727--loan-agreement--conformed.txt,xiaolangdi-multipurpose,1994_april_14,1994
1994_april_5_360481468297885666_romania--education-reform-project-_-loan-3724--loan-agreement--conformed.txt,education-reform,1994_april_5,1994
1994_april_5_948001468058135663_romania--petroleum-sector-rehabilitation-project-_-loan-3723--loan-agreement--conformed.txt,petroleum-sector-rehabilitation,1994_april_5,1994
1994_april_7_615321468253814445_kazakhstan--urban-transport-project-_-loan-3725--loan-agreement--conformed.txt,urban-transport,1994_april_7,1994
1994_august_23_231921468308368489_tunisia--secondary-education-support-project-_-loan-3786--loan-agreement--conformed.txt,secondary-education-support,1994_august_23,1994
1994_august_30_623421468024579381_china--xinjiang-provincial-highway-project-_-loan-3787--loan-agreement--conformed.txt,xinjiang-provincial-highway,1994_august_30,1994
1994_december_13_243941468024308758_ecuador--debt-and-debt-service-reduction-loan-_-loan-3820--loan-agreement--conformed.txt,debt-and-debt-service-reduction,1994_december_13,1994
1994_december_13_439401468246658865_ecuador--modernization-of-the-state-technical-assistance-project-_-loan-3822--loan-agreement--conformed.txt,modernization-of-the-state-technical-assistance,1994_december_13,1994
1994_december_13_653081468234321027_ecuador--structural-adjustment-loan-_-loan-3819--loan-agreement--conformed.txt,structural-adjustment,1994_december_13,1994
1994_december_15_361681468059363585_russia--management-and-financial-training-project-_-loan-3824--loan-agreement--conformed.txt,management-and-financial-training,1994_december_15,1994
1994_december_15_758121468041461616_indonesia--second-professional-human-resource-development-project-_-loan-3825--loan-agreement--conformed.txt,second-professional-human-resource-development,1994_december_15,1994
1994_december_15_823921468285594698_peru--primary-education-quality-project-_-loan-3826--loan-agreement--conformed.txt,primary-education-quality,1994_december_15,1994
1994_december_1_761091468001463495_algeria--mascara-emergency-reconstruction-project-_-loan-3813--loan-agreement--conformed.txt,mascara-emergency-reconstruction,1994_december_1,1994
1994_december_20_302971468285306189_korea--waste-disposal-project-_-loan-3830--loan-agreement--conformed.txt,waste-disposal,1994_december_20,1994
1994_december_22_148261468302458224_ukraine--rehabilitation-loan-_-loan-3831--loan-agreement--conformed.txt,rehabilitation,1994_december_22,1994
1994_december_22_168961468248656295_egypt--irrigation-improvement-project-_-loan-3832--loan-agreement--conformed.txt,irrigation-improvement,1994_december_22,1994
1994_december_22_187591468248427399_egypt--irrigation-improvement-project-_-credit-2672--loan-agreement--conformed.txt,irrigation-improvement,1994_december_22,1994
1994_december_22_258821468015658811_chile--third-road-sector-project-_-loan-3833--loan-agreement--conformed.txt,third-road-sector,1994_december_22,1994
1994_december_8_353891468292901961_jordan--agriculture-sector-adjustment-loan-_-loan-3817--loan-agreement--conformed.txt,agriculture-sector-adjustment,1994_december_8,1994
1994_december_8_642361468253791186_jordan--agriculture-sector-technical-support-project-_-loan-3818--loan-agreement--conformed.txt,agriculture-sector-technical-support,1994_december_8,1994
1994_december_8_649711468046737931_lithuania--klaipeda-environment-project-_-loan-3816--loan-agreement--conformed.txt,klaipeda-environment,1994_december_8,1994
1994_december_8_665871468281047823_moldova--structural-adjustment-loan-_-loan-3815--loan-agreement--conformed.txt,structural-adjustment,1994_december_8,1994
1994_february_17_516661468033673356_hungary--energy-and-environment-project-_-loan-3705--loan-agreement--conformed.txt,energy-and-environment,1994_february_17,1994
1994_february_22_121921468024308501_ecuador--third-social-development-project-social-investment-fund-_-loan-3707--loan-agreement--conformed.txt,third-social-development,1994_february_22,1994
1994_february_22_415671468068335069_paraguay--natural-resources-management-project-_-loan-3708--loan-agreement--conformed.txt,natural-resources-management,1994_february_22,1994
1994_february_3_700461468332717216_philippines--leyte-cebu-geothermal-project-_-loan-3702--pnoc--loan-agreement--conformed.txt,leyte-cebu-geothermal,1994_february_3,1994
1994_february_3_702881468285636581_philippines--leyte-cebu-geothermal-project-_-loan-3700--npc--loan-agreement--conformed.txt,leyte-cebu-geothermal,1994_february_3,1994
1994_february_3_972201468287152068_peru--basic-health-and-nutrition-project-_-loan-3701--loan-agreement--conformed.txt,basic-health-and-nutrition,1994_february_3,1994
1994_january_11_801421468091184980_latvia--agricultural-development-project-_-loan-3695--loan-agreement--conformed.txt,agricultural-development,1994_january_11,1994
1994_january_25_385961468130212040_uruguay--private-sector-development-project-_-loan-3698--loan-agreement--conformed.txt,private-sector-development,1994_january_25,1994
1994_january_6_364051468038997570_korea--environmental-technology-development-project-_-loan-3694--loan-agreement--conformed.txt,environmental-technology-development,1994_january_6,1994
1994_july_12_769121468055152192_mexico--rainfed-areas-development-project-_-loan-3778--loan-agreement--conformed.txt,rainfed-areas-development,1994_july_12,1994
1994_july_26_350581468034838976_india--industrial-pollution-prevention-project-_-loan-3779--loan-agreement--1--conformed.txt,industrial-pollution-prevention,1994_july_26,1994
1994_july_26_935851468256465920_india--industrial-pollution-prevention-project-_-loan-3779--loan-agreement--2--conformed.txt,industrial-pollution-prevention,1994_july_26,1994
1994_july_28_261881468303041686_tunisia--water-supply-and-sewerage-project-_-loan-3782--loan-agreement--conformed.txt,water-supply-and-sewerage,1994_july_28,1994
1994_july_28_934111468102881306_tunisia--water-supply-and-sewerage-project-_-loan-3783--loan-agreement--conformed.txt,water-supply-and-sewerage,1994_july_28,1994
1994_july_5_410701468286275874_paraguay--private-sector-development-project-_-loan-3774--loan-agreement--conformed.txt,private-sector-development,1994_july_5,1994
1994_july_5_501631468240315423_china--enterprise-housing-and-social-security-reform-project-_-loan-3773--loan-agreement--conformed.txt,enterprise-housing-and-social-security-reform,1994_july_5,1994
1994_july_7_371001468249679231_gabon--transport-sector-technical-assistance-project-_-loan-3777--loan-agreement--conformed.txt,transport-sector-technical-assistance,1994_july_7,1994
1994_june_14_379961468260636410_indonesia--university-research-for-graduate-education-project-_-loan-3754--loan-agreement--conformed.txt,university-research-for-graduate-education,1994_june_14,1994
1994_june_14_767321468035336353_indonesia--integrated-swamps-development-project-_-loan-3755--loan-agreement--conformed.txt,integrated-swamps-development,1994_june_14,1994
1994_june_16_230191468295006081_russia--agriculture-reform-implementation-support-project-_-loan-3757--loan-agreement--conformed.txt,agriculture-reform-implementation-support,1994_june_16,1994
1994_june_16_668611468146702205_russia--land-reform-implementation-support-project-_-loan-3756--loan-agreement--conformed.txt,land-reform-implementation-support,1994_june_16,1994
1994_june_16_861711468039542547_jamaica--tax-administration-reform-project-_-loan-3758--loan-agreement--conformed.txt,tax-administration-reform,1994_june_16,1994
1994_june_21_709471468034467586_indonesia--java-irrigation-improvement-water-resources-management-project-_-loan-3762--loan-agreement--conformed.txt,java-irrigation-improvement-water-resources-management,1994_june_21,1994
1994_june_21_849861468260636772_indonesia--sumatera-and-kalimantan-power-project-_-loan-3761--loan-agreement--conformed.txt,sumatera-and-kalimantan-power,1994_june_21,1994
1994_june_21_949461468298473009_russia--enterprise-support-project-_-loan-3763--loan-agreement--conformed.txt,enterprise-support,1994_june_21,1994
1994_june_22_662741468295796991_russia--highway-rehabilitation-and-maintenance-project-_-loan-3706--loan-agreement--conformed.txt,highway-rehabilitation-and-maintenance,1994_june_22,1994
1994_june_23_590261468056401922_morocco--second-agricultural-sector-investment-loan-_-loan-3765--loan-agreement--conformed.txt,second-agricultural-sector-investment,1994_june_23,1994
1994_june_28_165841468237291004_brazil--parana-basic-education-quality-project-_-loan-3766--loan-agreement--conformed.txt,parana-basic-education-quality,1994_june_28,1994
