filename,loan_amount,currency
1990_december_4_833971468016863921_china--rural-industrial-technology-_-credit-2186--loan-agreement--conformed.txt,50000000,$
1990_june_12_146771468325288731_pakistan--agricultural-credit-project-_-credit-2153--loan-agreement--conformed.txt,148500000,$
1990_march_27_681121468040453518_india--hyderabad-water-supply-and-sanitation-project-_-credit-2115--loan-agreement--conformed.txt,10000000,$
1990_may_15_598881468034838695_india--integrated-watershed-development-plains-project-_-loan-3197--loan-agreement--conformed.txt,7000000,$
1990_may_15_955111468244536485_india--integrated-watershed-development-plains-project-_-credit-2131--loan-agreement--conformed.txt,7000000,$
1990_may_17_749401468251094028_india--seventh-population-project-_-credit-2133--loan-agreement--conformed.txt,10000000,$
1990_may_17_788441468273707898_india--seventh-population-project-_-loan-3199--loan-agreement--conformed.txt,10000000,$
1990_may_1_670561468035072614_india--technical-education-project-_-credit-2130--loan-agreement--conformed.txt,25000000,$
1990_may_22_349231468225306873_caribbean-region--fifth-caribbean-development-bank-project-_-loan-3200--loan-agreement--conformed.txt,9100000,SDR
1990_october_4_185891468252289466_india--andhra-pradesh-cyclone-emergency-reconstruction-project-_-loan-3260--loan-agreement--conformed.txt,40000000,$
1990_october_4_969691468033278080_india--andhra-pradesh-cyclone-emergency-reconstruction-project-_-credit-2179--loan-agreement--conformed.txt,40000000,$
1990_september_4_707791468040453804_india--integrated-child-development-services-project-_-credit-2173--loan-agreement--conformed.txt,10000000,$
1991_april_9_132451468020333188_china--jiangsu-provincial-transport-project-_-loan-3316--loan-agreement--conformed.txt,100000000,$
1991_december_20_506621468026670810_ivory-coast--human-resources-development-loan-_-loan-3428--loan-agreement--conformed.txt,125000000,$
1991_december_20_735971468026667972_ivory-coast--competitiveness-and-regulatory-reform-adjustment-loan-_-credit-2324--loan-agreement--conformed.txt,75000000,$
1991_december_20_796561468026386353_ivory-coast--human-resources-development-loan-_-credit-2323--loan-agreement--conformed.txt,125000000,$
1991_december_20_876431468027608636_ivory-coast--competitiveness-and-regulatory-reform-adjustment-loan-_-loan-3429--loan-agreement--conformed.txt,75000000,$
1991_december_5_825341468040565140_india--structural-adjustment-loan-_-loan-3421--loan-agreement--conformed.txt,250000000,$
1991_january_8_548891468016865301_china--medium-sized-cities-development-project-_-loan-3286--loan-agreement--conformed.txt,79400000,$
1991_june_4_196521468240577585_china--irrigated-agriculture-intensification-project-_-loan-3337--loan-agreement--conformed.txt,147100000,$
1991_june_4_945761468241166650_china--irrigated-agriculture-intensification-project-_-credit-2256--loan-agreement--conformed.txt,147100000,$
1991_march_12_994751468252289779_india--agricultural-development-project--tamil-nadu-_-loan-3300--loan-agreement--conformed.txt,20000000,$
1991_may_14_572381468034781087_india--dam-safety-project-_-loan-3325--loan-agreement--conformed.txt,23000000,$
1991_may_14_880711468040455417_india--dam-safety-project-_-credit-2241--loan-agreement--conformed.txt,23000000,$
1991_may_21_698871468289877875_pakistan--third-on-farm-water-management-project-_-credit-2245--loan-agreement--conformed.txt,36300000,$
1991_may_21_971331468291698667_pakistan--third-on-farm-water-management-project-_-loan-3327--loan-agreement--conformed.txt,36300000,$
1991_november_19_892131468028134392_china--beijing-environmental-project-_-loan-3415--loan-agreement--conformed.txt,45000000,$
1991_october_31_427451468019739796_china--daguangba-multipurpose-project-_-loan-3412--loan-agreement--conformed.txt,30000000,$
1992_january_21_157381468321580517_zimbabwe--structural-adjustment-loan-_-loan-3434--loan-agreement--conformed.txt,125000000,$
1992_may_12_168201468051268836_india--second-national-highway-project-_-credit-2365--loan-agreement--conformed.txt,153000000,$
1992_may_12_329401468050034439_india--second-national-highway-project-_-loan-3470--loan-agreement--conformed.txt,153000000,$
1993_december_21_133961468299950776_morocco--services-project-_-loan-3688--loan-agreement--conformed.txt,25000000,$
1993_december_21_918591468071335214_panama--roads-rehabilitation-project-_-loan-3686--loan-agreement--conformed.txt,60000000,$
1993_december_23_573261468018054340_colombia--natural-resource-management-program-_-loan-3692--loan-agreement--conformed.txt,39000000,$
1993_december_23_890441468302943626_tunisia--northwest-mountainous-areas-development-project-_-loan-3691--loan-agreement--conformed.txt,27500000,$
1993_december_23_942771468204579908_algeria--emergency-desert-locust-control-project-_-loan-3690--loan-agreement--conformed.txt,30000000,$
1993_september_14_669041468289880869_pakistan--public-sector-adjustment-loan-_-loan-3645--loan-agreement--conformed.txt,150000000,$
1994_april_12_991211468259147267_indonesia--surabaya-urban-development-project-_-loan-3726--loan-agreement--conformed.txt,175000000,$
1994_april_14_797931468241169432_china--xiaolangdi-multipurpose-project-_-loan-3727--loan-agreement--conformed.txt,460000000,$
1994_april_5_360481468297885666_romania--education-reform-project-_-loan-3724--loan-agreement--conformed.txt,50000000,$
1994_april_5_948001468058135663_romania--petroleum-sector-rehabilitation-project-_-loan-3723--loan-agreement--conformed.txt,175600000,$
1994_april_7_615321468253814445_kazakhstan--urban-transport-project-_-loan-3725--loan-agreement--conformed.txt,40000000,$
1994_august_23_231921468308368489_tunisia--secondary-education-support-project-_-loan-3786--loan-agreement--conformed.txt,98300000,$
1994_august_30_623421468024579381_china--xinjiang-provincial-highway-project-_-loan-3787--loan-agreement--conformed.txt,150000000,$
1994_december_13_243941468024308758_ecuador--debt-and-debt-service-reduction-loan-_-loan-3820--loan-agreement--conformed.txt,80000000,$
1994_december_13_439401468246658865_ecuador--modernization-of-the-state-technical-assistance-project-_-loan-3822--loan-agreement--conformed.txt,20000000,$
1994_december_13_653081468234321027_ecuador--structural-adjustment-loan-_-loan-3819--loan-agreement--conformed.txt,200000000,$
1994_december_15_361681468059363585_russia--management-and-financial-training-project-_-loan-3824--loan-agreement--conformed.txt,40000000,$
1994_december_15_758121468041461616_indonesia--second-professional-human-resource-development-project-_-loan-3825--loan-agreement--conformed.txt,69000000,$
1994_december_15_823921468285594698_peru--primary-education-quality-project-_-loan-3826--loan-agreement--conformed.txt,146400900,$
1994_december_1_761091468001463495_algeria--mascara-emergency-reconstruction-project-_-loan-3813--loan-agreement--conformed.txt,51000000,$
1994_december_20_302971468285306189_korea--waste-disposal-project-_-loan-3830--loan-agreement--conformed.txt,75000000,$
1994_december_22_148261468302458224_ukraine--rehabilitation-loan-_-loan-3831--loan-agreement--conformed.txt,500000000,$
1994_december_22_168961468248656295_egypt--irrigation-improvement-project-_-loan-3832--loan-agreement--conformed.txt,26700000,$
1994_december_22_187591468248427399_egypt--irrigation-improvement-project-_-credit-2672--loan-agreement--conformed.txt,26700000,$
1994_december_22_258821468015658811_chile--third-road-sector-project-_-loan-3833--loan-agreement--conformed.txt,120000000,$
1994_december_8_353891468292901961_jordan--agriculture-sector-adjustment-loan-_-loan-3817--loan-agreement--conformed.txt,80000000,$
1994_december_8_642361468253791186_jordan--agriculture-sector-technical-support-project-_-loan-3818--loan-agreement--conformed.txt,6600000,$
1994_december_8_649711468046737931_lithuania--klaipeda-environment-project-_-loan-3816--loan-agreement--conformed.txt,7000600,$
1994_december_8_665871468281047823_moldova--structural-adjustment-loan-_-loan-3815--loan-agreement--conformed.txt,60000000,$
1994_february_17_516661468033673356_hungary--energy-and-environment-project-_-loan-3705--loan-agreement--conformed.txt,100000000,$
1994_february_22_121921468024308501_ecuador--third-social-development-project-social-investment-fund-_-loan-3707--loan-agreement--conformed.txt,30000000,$
1994_february_22_415671468068335069_paraguay--natural-resources-management-project-_-loan-3708--loan-agreement--conformed.txt,50000000,$
1994_february_3_700461468332717216_philippines--leyte-cebu-geothermal-project-_-loan-3702--pnoc--loan-agreement--conformed.txt,64000000,$
1994_february_3_702881468285636581_philippines--leyte-cebu-geothermal-project-_-loan-3700--npc--loan-agreement--conformed.txt,147000000,$
1994_february_3_972201468287152068_peru--basic-health-and-nutrition-project-_-loan-3701--loan-agreement--conformed.txt,34000000,$
1994_january_11_801421468091184980_latvia--agricultural-development-project-_-loan-3695--loan-agreement--conformed.txt,25000000,$
1994_january_25_385961468130212040_uruguay--private-sector-development-project-_-loan-3698--loan-agreement--conformed.txt,35000000,$
1994_january_6_364051468038997570_korea--environmental-technology-development-project-_-loan-3694--loan-agreement--conformed.txt,90000000,$
