filename,loan_amount,currency
1990_april_24_587321468019152780_conformed-copy--l3186--forestry-sector-project--loan-agreement.txt,80000000,$
1990_april_24_668811468165272290_conformed-copy--c2120--water-supply-project--loan-agreement.txt,2500000,$
1990_april_25_904191468298750561_conformed-copy--l3190--environment-management-project--loan-agreement.txt,18000000,$
1990_april_30_410811468040573756_conformed-copy--l3180--rural-electrification-project--loan-agreement.txt,329000000,$
1990_april_30_725911468042268845_conformed-copy--l3182--third-telecommunications-project--loan-agreement.txt,350000000,$
1990_april_5_790191468211457471_conformed-copy--l3076--west-mitidja-irrigation-project--loan-agreement.txt,110000000,$
1990_august_10_460651468271855106_conformed-copy--l3203--universities-science-and-technology-research-project--loan-agreement.txt,45000000,$
1990_august_10_885551468047414878_conformed-copy--l3202--second-technology-advancement-project--loan-agreement.txt,31600000,$
1990_august_10_939121468273631507_conformed-copy--l3178--juam-regional-water-supply-project--loan-agreement.txt,34000000,$
1990_august_13_930351468250521631_conformed-copy--c2130--technician-education-project--loan-agreement.txt,25000000,$
1990_august_15_230091468052775099_conformed-copy--l3246--third-jabotabek-urban-development-project--loan-agreement.txt,61000000,$
1990_august_16_465311468313479511_conformed-copy--l3151--ankara-sewerage-project--loan-agreement.txt,173000000,$
1990_august_16_846341468313225526_conformed-copy--l3057--health-project--loan-agreement.txt,75000000,$
1990_august_1_365931468028798634_conformed-copy--l3201--community-child-care-and-nutrition-project--loan-agreement.txt,24000000,$
1990_august_22_783181468252586159_conformed-copy--c2131--integrated-watershed-development-plains-project--loan-agreement.txt,7000000,$
1990_august_24_445361468285898367_conformed-copy--l3218--structural-adjustment-loan--loan-agreement.txt,50000000,$
1990_august_31_832451468296115700_conformed-copy--l3247--structural-adjustment-loan--loan-agreement.txt,300000000,$
1990_august_3_582271468012059093_conformed-copy--l3206--social-dimensions-of-adjustment-project--loan-agreement.txt,21500000,$
1990_august_7_199201468334783713_conformed-copy--l3079--urban-sector-and-regional-development-project--loan-agreement.txt,80000000,$
1990_december_10_126961468289797194_conformed-copy--l3236--telecommunications-project--loan-agreement.txt,225000000,$
1990_december_10_441561468020974222_conformed-copy--c2182--fourth-rural-credit-project--loan-agreement.txt,75000000,$
1990_december_12_315411468043440043_conformed-copy--l3275--road-infrastructure-planning-and-maintenance-project--loan-agreement.txt,35000000,$
1990_december_14_325161468302998577_conformed-copy--l3279--interest-support-loan--loan-agreement.txt,150000000,$
1990_december_28_821301468240310549_conformed-copy--l3278--public-sector-reform-loan--loan-agreement.txt,304000000,$
1990_february_12_603871468052164505_conformed-copy--l3158--second-secondary-education-and-management-project--loan-agreement.txt,154200000,$
1990_february_16_554991468238775083_conformed-copy--l3102--water-sector-project-in-the-state-of-sao-paulo--loan-agreement.txt,280000000,$
1990_february_1_328621468247829056_conformed-copy--l3069--slovene-coast-water-supply-and-sewerage-project--loan-agreement-1.txt,28000000,$
1990_february_1_537611468095360158_west-africa--third-regional-development-project-_-loan-3161--loan-agreement--conformed.txt,15000000,$
1990_february_1_553321468248955526_conformed-copy--l3069--slovene-coast-water-supply-and-sewerage-project--loan-agreement-2.txt,32000000,$
1990_february_22_262671468094782907_conformed-copy--l3166--industrial-export-development-project--loan-agreement.txt,260000000,$
1990_february_22_466461468296115371_conformed-copy--l3167--agroindustries-export-development-project--loan-agreement.txt,100000000,$
1990_february_2_422441468292518842_conformed-copy--l3147--transmission-extension-and-reinforcement-project--loan-agreement.txt,162000000,$
1990_february_2_586931468145152507_conformed-copy--c2078--rural-electrification-project--loan-agreement.txt,123000000,$
1990_february_2_954651468026689066_conformed-copy--l3103--fourth-power-project--loan-agreement.txt,165000000,$
1990_february_4_788911468053944931_conformed-copy--l3159--interest-support-loan--loan-agreement.txt,1260000000,$
1990_february_7_165011468011151104_conformed-copy--l3143--financial-markets-project--loan-agreement.txt,130000000,$
1990_february_7_214111468059951800_conformed-copy--l3136--industrial-finance-project--loan-agreement-2.txt,12000000,$
1990_february_7_236061468274189148_conformed-copy--l3136--industrial-finance-project--loan-agreement-6.txt,5000000,$
1990_february_7_408261468059043876_conformed-copy--l3136--industrial-finance-project--loan-agreement-5.txt,12000000,$
1990_february_7_484641468287378263_conformed-copy--l3136--industrial-finance-project--loan-agreement-7.txt,9000000,$
1990_february_7_741731468054580930_conformed-copy--l3136--industrial-finance-project--loan-agreement-1.txt,50000000,$
1990_february_7_816671468053053986_conformed-copy--l3136--industrial-finance-project--loan-agreement-3.txt,25000000,$
1990_february_7_995471468120545067_conformed-copy--l3136--industrial-finance-project--loan-agreement-4.txt,40000000,$
1990_february_9_411291468033294428_conformed-copy--c2076--punjab-irrigation-and-drainage-project--loan-agreement.txt,15000000,$
1990_january_10_784351468234894668_conformed-copy--l3130--third-agricultural-research-project--loan-agreement.txt,47000000,$
1990_january_11_125511468051878371_conformed-copy--l3145--highway-rehabilitation-and-improvement-project--loan-agreement.txt,83200000,$
1990_january_11_891941468049466312_conformed-copy--l3139--rubber-industry-smallholders-development-authority-project--loan-agreement.txt,71000000,$
1990_january_16_733341468033245855_conformed-copy--l3155--abidjan-environmental-protection-project--loan-agreement.txt,21900000,$
1990_january_19_603521468295511275_conformed-copy--l3146--second-municipal-development-project--loan-agreement.txt,40000000,$
1990_january_23_531161468272091367_conformed-copy--l3141--second-agricultural-marketing-project--loan-agreement.txt,100000000,$
1990_january_25_707061468302738531_conformed-copy--l3153--technical-assistance-project--loan-agreement.txt,4000000,$
1990_january_25_982071468334274747_conformed-copy--l3152--structural-adjustment-loan--loan-agreement.txt,40000000,$
1990_january_31_669111468337266603_conformed-copy--l3063--agricultural-credit-and-export-promotion-project--loan-agreement.txt,36300000,$
1990_january_5_658601468273303198_conformed-copy--l3142--industry-and-trade-policy-adjustment-loan--loan-agreement.txt,150000000,$
1990_july_27_260891468290103735_conformed-copy--l3241--transport-sector-project--loan-agreement.txt,184000000,$
1990_july_27_619901468772182028_conformed-copy--l3172--integrated-phosphate-project--loan-agreement.txt,25000000,$
1990_july_2_291921468295198343_conformed-copy--l3215--energy-resource-development-project--loan-agreement.txt,250000000,$
1990_july_6_261741468043502570_conformed-copy--l3243--second-forestry-institutions-and-conservation-project--loan-agreement.txt,20000000,$
1990_july_6_436671468042269159_conformed-copy--l3209--gas-utilization-project--loan-agreement.txt,86000000,$
1990_july_6_503881468258537286_conformed-copy--l3219--second-jabotabek-urban-development-project--loan-agreement.txt,190000000,$
"1990_july_9_410981468296958954_conformed-copy--l3242--first-water-supply,-sewerage-and-sanitation-project--loan-agreement.txt",85000000,$
1990_july_9_673731468058475489_conformed-copy--l3244--second-elementary-education-project--loan-agreement.txt,200000000,$
1990_june_11_214151468298750915_conformed-copy--l3193--transport-project--railways--loan-agreement.txt,8000000,$
1990_june_12_458961468100490988_pakistan--agricultural-credit-project-_-loan-3226--loan-agreement--conformed.txt,148500000,$
1990_june_13_408031468034196200_conformed-copy--l3196--cement-industry-restructuring-project--loan-agreement.txt,300000000,$
1990_june_15_203121469672154938_conformed-copy--l3156--second-forestry-development-project--loan-agreement.txt,200000000,$
1990_june_15_954141468273920553_conformed-copy--l3171--health-sector-investment-project--loan-agreement.txt,104000000,$
1990_june_1_383111468034156865_conformed-copy--l3191--financial-system-modernization-project--loan-agreement.txt,66000000,$
1990_june_21_438011468254703429_conformed-copy--l3228--structural-adjustment-loan--loan-agreement.txt,200000000,$
1990_june_21_552091468292537231_conformed-copy--l3183--national-seed-and-quarantine-project--loan-agreement.txt,14000000,$
1990_june_22_418341468249703395_conformed-copy--l3188--housing-project--loan-agreement.txt,16200000,$
1990_june_28_166721468033245385_conformed-copy--l3240--water-supply-and-sanitation-sector-adjustment-loan--loan-agreement.txt,80000000,$
1990_june_29_129481468286469491_conformed-copy--l3154--third-telecommunications-project--loan-agreement.txt,17200000,$
