Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,..,..,..,..,..,..,..,..,..,..,..,..,877.0142683,927.857548,925.4414292,1023.051749,1077.76154,1228.703863,1272.572975,1519.692923,1710.575411,1699.48811,1914.774228,2015.514775,2069.424022,2087.305323,1981.118069,2058.400221,2082.635648,2152.366489
Albania,2548.845764,1908.644331,1822.859076,2056.943453,2289.309748,2665.109037,2979.33309,2716.693558,3020.930573,3471.656359,3862.484378,4301.38283,4661.379143,4994.924693,5423.201684,5865.317591,6557.801337,7274.524685,8228.32756,8819.510092,9636.108705,10207.7335,10526.31897,10570.9681,11259.2967,11658.86606,12078.80073,12770.97504,13546.48169,14224.07326
Algeria,6916.495704,6892.903083,7010.168501,6871.197227,6812.219797,7082.784019,7377.696971,7465.899072,7816.771613,8068.296135,8446.587162,8775.117306,9293.836506,10019.35721,10591.03746,11405.64174,11776.0396,12311.03758,12643.15061,12722.37782,13095.44828,13500.04386,13303.32752,13056.80259,13003.26678,12015.63291,11624.34071,11737.41616,11921.72533,11997.33783
American Samoa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,3281.31385,3313.888758,3088.53372,2326.646193,2331.703879,2651.020473,2968.243068,3136.516286,3215.105619,3226.128142,3289.409549,3389.196967,3785.150322,3838.795052,4225.467927,4837.709827,5362.019843,6050.610555,6607.291634,6470.675244,6587.986939,6710.750623,7412.967035,7682.475386,8179.297828,7337.569822,7103.226431,7310.896589,7099.971958,6905.651751
Antigua and Barbuda,11594.17069,12086.72058,12292.74884,12982.95453,13845.78767,13230.23053,14054.45506,14757.12431,15306.50488,15789.4352,16843.12161,16173.32622,16367.7349,17458.88373,18718.37078,20269.69099,23180.40071,25613.5465,25690.68949,22435.3937,20611.44578,20347.86848,19598.02386,18797.62637,19039.0045,18911.30689,19920.26578,19840.28404,21535.33089,22460.01925
Argentina,7195.692106,8005.465074,8719.103242,9532.890941,10175.12601,9969.601171,10586.10997,11507.89541,11949.41866,11581.89051,11618.79323,11226.87975,10052.48826,11025.1861,12214.74071,13568.76921,14951.72895,16570.00783,17404.06914,16334.74081,18061.93436,19322.22712,19641.35286,20131.68042,19683.77151,20105.19899,20307.87005,23597.11775,23305.84742,22996.98552
Armenia,2773.943145,2556.002387,1549.083615,1480.513834,1632.34437,1818.286383,1990.582923,2115.617044,2313.617793,2439.912753,2658.344322,2995.908846,3463.986063,4043.655062,4614.869804,5455.434995,6411.81964,7551.643636,8300.491988,7233.039928,7506.321909,8025.458485,9364.375299,9835.802461,10036.88984,9969.664854,10704.22976,12115.13929,13020.39632,14231.18019
Aruba,23307.89542,25020.11999,25659.43878,26532.52747,27712.91003,27707.43423,27558.81608,29223.23688,29508.86227,29716.83431,32026.97274,31064.35565,29847.92835,30356.04527,33050.90338,34051.4928,35168.56147,36619.58803,37247.9805,33553.882,32625.49269,34324.79936,33567.55002,36475.65787,36443.55969,36765.8208,37361.86727,38444.23816,..,..
