word,freq,in_words,postag
improve,5174,1,v
efficiency,1343,1,n
rail,118,1,n
port,4446,1,n
trans,1248,0,n
service,7728,1,n
poland,53,0,n
help,157,1,n
prepare,261,1,n
system,8081,1,n
entry,66,1,n
european,114,0,a
union,95,1,n
consists,2478,0,n
follow,4326,1,v
part,11936,1,n
sub,7280,1,n
ject,1784,0,n
modification,1237,1,n
thereof,1777,1,n
bank,9718,1,n
agree,1545,1,n
upon,1518,1,n
time,3997,1,n
achieve,1625,1,n
severance,27,1,n
paymentsincrease,1,0,n
productivity,224,1,n
staff,2071,1,n
retrenchment,8,1,n
provide,1572,1,v
payment,2383,1,n
package,154,1,n
redundant,24,1,n
accordance,1348,1,n
labor,375,1,n
redeployment,27,1,n
slabor,1,0,n
training,6689,1,n
assist,1320,1,n
job,184,1,n
search,1,1,v
provide,957,1,n
outplacement,2,0,n
assistance,4149,1,n
monitoring,3011,0,n
survey,569,1,n
completion,234,1,n
say,1613,1,v
preparation,1719,1,n
privatizationprovision,1,0,n
technical,5334,1,a
privatization,489,0,n
expect,1475,1,v
complete,1620,1,v
urban,1294,1,a
water,5051,1,n
address,235,1,n
scarcity,2,1,n
issue,326,1,n
select,2271,1,v
city,711,1,n
liaoning,34,0,v
province,890,1,n
construction,3885,1,n
rehabilitation,2033,1,n
road,4101,1,n
improvement,2487,1,n
public,4599,1,n
systemsand,10,0,n
foster,65,1,v
transit,90,1,n
orient,122,1,v
development,8369,1,n
along,278,1,n
corridor,305,1,n
include,8273,1,v
widen,91,1,v
exist,1297,1,v
new,2045,1,a
vithin,1,0,n
area,3182,1,n
acquisition,961,1,n
maintenance,1779,1,n
equipment,3722,1,n
buslanes,1,0,n
station,1204,1,n
traffic,645,1,n
management,10259,1,n
feature,29,1,n
pedestrian,92,1,a
access,1370,1,n
street,134,1,n
furniture,187,1,n
asbicycle,1,0,n
parking,95,1,n
bench,2,1,n
bollard,1,1,n
garbage,7,1,n
bin,17,1,n
complementary,85,1,n
infrastructure,2083,1,n
extend,105,1,v
donggang,1,0,n
kuandian,1,0,n
county,261,1,n
lingyuan,2,0,n
longcheng,1,0,n
ict,1212,1,n
distr,449,0,n
panjin,8,0,n
activity,3059,1,n
shall,4422,1,n
also,55,1,r
include,599,1,n
ofbuses,3,0,n
bus,293,1,n
garage,6,1,n
depot,63,1,n
busmaintenance,1,0,n
facility,2302,1,n
waste,1402,1,n
treatment,805,1,n
reclamation,16,1,n
well,880,1,r
separation,54,1,n
sewage,188,1,n
drainage,595,1,n
network,1626,1,n
includingthe,44,0,n
installation,1020,1,n
storm,121,1,n
andmunicipal,13,0,n
sewerage,365,1,n
collection,778,1,n
pipeline,257,1,n
plant,973,1,n
reclaim,5,1,v
distribution,899,1,n
canal,181,1,n
retention,46,1,n
pond,50,1,n
within,1233,1,n
areasof,12,0,n
suizhong,1,0,n
capacity,4892,1,n
buildingimproving,1,0,n
institution,4366,1,n
al,3515,1,n
implement,1405,1,v
entity,980,1,n
citiesand,2,0,n
company,563,1,n
plan,3218,1,n
design,2465,1,n
construct,56,1,n
sustainably,9,0,r
manage,388,1,n
modern,200,1,a
highquality,4,0,n
delivery,768,1,n
particularly,98,1,r
transportation,197,1,n
inter,5817,1,n
alia,2565,0,n
provision,10426,1,n
oftechnical,85,0,a
