word,freq,in_words,postag
part,11936,1,n
provision,10426,1,n
management,10259,1,n
bank,9718,1,n
development,8369,1,n
system,8081,1,n
service,7728,1,n
sub,7280,1,n
training,6689,1,n
support,5938,1,n
inter,5817,1,n
technical,5334,1,a
implementation,5149,1,n
water,5051,1,n
capacity,4892,1,n
public,4599,1,n
port,4446,1,n
shall,4422,1,n
institution,4366,1,n
loan,4251,1,n
assistance,4149,1,n
road,4101,1,n
national,4046,1,a
time,3997,1,n
construction,3885,1,n
equipment,3722,1,n
information,3581,1,n
al,3515,1,n
plan,3218,1,n
area,3182,1,n
health,3162,1,n
activity,3059,1,n
financial,2999,1,a
study,2973,1,n
education,2760,1,n
section,2746,1,n
amount,2650,1,n
paragraph,2490,1,n
improvement,2487,1,n
investment,2479,1,n
design,2465,1,n
payment,2383,1,n
operation,2313,1,n
facility,2302,1,n
social,2296,1,a
policy,2276,1,n
date,2262,1,n
environmental,2113,1,a
law,2095,1,n
mean,2084,1,n
infrastructure,2083,1,n
evaluation,2076,1,n
staff,2071,1,n
new,2045,1,a
agreement,2036,1,n
rehabilitation,2033,1,n
quality,2030,1,n
establishment,1977,1,n
action,1928,1,n
schedule,1910,1,n
work,1897,1,n
account,1865,1,n
school,1859,1,n
market,1834,1,n
procedure,1814,1,n
cost,1812,1,n
maintenance,1779,1,n
thereof,1777,1,n
contract,1768,1,n
supply,1759,1,n
resource,1755,1,n
preparation,1719,1,n
community,1687,1,n
good,1682,1,n
level,1672,1,n
finance,1650,1,n
rural,1633,1,a
network,1626,1,n
achieve,1625,1,n
principal,1622,1,n
related,1606,1,a
local,1550,1,a
agree,1545,1,n
upon,1518,1,n
procurement,1517,1,n
government,1508,1,n
term,1484,1,n
framework,1478,1,n
strengthen,1468,1,n
building,1464,1,n
guideline,1455,1,n
control,1445,1,n
state,1440,1,n
waste,1402,1,n
private,1397,1,a
strategy,1378,1,n
access,1370,1,n
communication,1364,1,n
accordance,1348,1,n
efficiency,1343,1,n
research,1335,1,n
enterprise,1334,1,n
use,1333,1,n
assist,1320,1,n
technology,1308,1,n
consultant,1295,1,n
urban,1294,1,a
business,1261,1,n
withdrawal,1249,1,n
data,1244,1,n
agency,1239,1,n
modification,1237,1,n
within,1233,1,n
set,1228,1,n
reform,1213,1,n
station,1204,1,n
power,1195,1,n
center,1175,1,n
energy,1173,1,n
assessment,1171,1,n
respect,1171,1,n
general,1158,1,a
standard,1143,1,n
expenditure,1139,1,n
safety,1121,1,n
regulation,1115,1,n
office,1107,1,n
condition,1106,1,n
land,1099,1,n
budget,1093,1,n
increase,1087,1,n
tax,1077,1,n
central,1076,1,a
unit,1075,1,n
supervision,1068,1,n
de,1066,1,n
agricultural,1061,1,a
process,1060,1,n
eligible,1058,1,a
material,1043,1,n
year,1037,1,n
regional,1032,1,a
performance,1025,1,n
installation,1020,1,n
line,1013,1,n
operational,1012,1,a
administration,1009,1,n
special,1006,1,a
non,983,1,n
basis,980,1,n
entity,980,1,n
ministry,977,1,n
economic,975,1,a
plant,973,1,n
risk,962,1,n
measure,961,1,n
