,x,y
2001_may_31_473681468094784501_conformed-copy--l7054--railway-restructuring-project--loan-agreement.txt,3.6654994,-47.084915
"2013_may_20_945021468224685176_official-documents-loan-agreement,-l8236-cn-closing-package.txt",36.313484,-21.829021
1991_may_7_107521468303622178_conformed-copy--l3230--third-highway-sector-project--loan-agreement-3230-yu.txt,13.458658,-50.032566
2002_july_29_675451468299212662_conformed-copy--l7128--education-improvement-project--loan-agreement.txt,-66.217094,-8.60882
1992_november_6_842421468191678347_conformed-copy--l3405--sahara-regional-development-project--loan-agreement.txt,12.737491,-22.00772
1998_february_16_960781468004185346_conformed-copy--l4251--rural-poverty-alleviation-project--paraiba--loan-agreement.txt,-9.001445,-10.602372
2016_december_13_622121484075331642_official-documents-loan-agreement-for-loan-8656-al-closing-package.txt,-5.8442216,-38.44362
2003_november_10_817241468028505713_conformed-copy--l7198--energy-efficiency-project--loan-agreement.txt,28.32689,23.341911
1995_january_11_823901468215361982_conformed-copy--l3788--shenyang-industrial-reform-project--loan-agreement.txt,-0.14915079,7.652073
2011_july_27_926481468035093400_loan-agreement-for-loan-8079-id-conformed.txt,-15.026892,-13.354405
1990_november_30_122571468043744539_conformed-copy--l3267--second-private-sector-development-loan--loan-agreement.txt,2.6524441,61.133854
"2018_august_22_123671536347301865_official-documents-loan-agreement-for-tf0a7482,-additional-financing-restating-the-original-loan-agreement-for-tf014588.txt",-18.375664,-4.847292
2010_june_3_441041468200958010_loan-agreement-for-loan-7896-ba-conformed.txt,-14.948248,53.46241
1999_june_1_562001468230648040_conformed-copy--l4291--rio-de-janeiro-mass-transit-project--pet--loan-agreement.txt,29.511917,-50.798103
2010_august_2_202591468248697830_loan-agreement-for-loan-7944-co-conformed.txt,-49.14292,1.5792137
"2005_december_28_289291468217178023_loan-agreement,-l7331-br-conformed.txt",20.085796,8.269159
2008_september_1_227981468198846837_loan-agreement-for-loan-7584-br-conformed.txt,-16.888784,58.79621
1991_march_18_359421468286495737_conformed-copy--l3290--public-sector-training-project--loan-agreement.txt,-56.192802,-5.1218014
1994_june_22_738151468040575117_conformed-copy--l3749--semarang--surakarta-urban-development-project--loan-agreement.txt,36.59723,-19.268486
2002_october_25_830471468007217465_conformed-copy--l7122--third-school-improvement-project-fundescola-iiia--loan-agreement.txt,-70.42741,-8.781274
1991_april_8_146261468202131867_conformed-copy--l3291--public-enterprise-reform-adjustment-loan--loan-agreement.txt,-2.2544675,62.148865
2002_december_17_700891468021579338_conformed-copy--l4677--hubei-xiaogan--xiangfan-highway-project--loan-agreement.txt,26.458073,-71.30847
2008_february_2_189911468272440948_loan-agreement-for-loan-4848-kz-conformed.txt,46.045265,-5.6211567
1995_january_11_147341468259145033_conformed-copy--l3825--second-professional-human-resource-development--loan-agreement.txt,-49.62707,-4.884396
2010_november_8_271771468253264191_loan-agreement-for-loan-7962-ge-conformed.txt,9.486046,-2.6011503
2017_december_29_165851515622456165_official-documents-loan-agreement-for-additional-financing-loan-8799-pk-and-amendment-to-financing-agreement-for-credit-5081-pk-closing-package.txt,17.171648,-21.41865
2010_december_3_767571468332400393_loan-agreement-for-loan-7959-ph-conformed.txt,-11.041667,-12.744402
"2008_may_22_845371468256127039_loan-agreement,-l7482-gt-conformed.txt",-28.74144,55.862972
"2007_july_27_329361468103156344_loan-agreemwnt,-l7463-yf-conformed.txt",17.4061,-69.84524
2009_november_18_551031468247465266_loan-agreement-for-loan-7779-do-conformed.txt,-25.188349,59.92249
2012_may_11_392531468118467207_official-documents-loan-agreement-for-loan-8147-vn-closing-package.txt,-13.800581,67.64859
2016_may_7_590191468030549864_official-documents-loan-agreement-for-loan-8607-ge-closing-package.txt,-5.006531,-39.398712
1995_november_21_595661467998771093_argentina--public-investment-strengthening-technical-assistance-project-_-loan-3958--loan-agreement--conformed.txt,-27.569096,16.352257
2010_november_2_880711468018540108_loan-agreement-for-loan-7929-cn-conformed.txt,28.325449,-61.900433
1994_september_21_894391468114557703_conformed-copy--l3782--water-supply-and-sewerage-project--loan-agreement.txt,40.452007,-12.142974
